BrojPu,Naselje
10430,Braslovje
10430,Bregana
10430,Breganica
10430,Bukovje Podvrško
10430,Celine Samoborske
10430,Cerje Samoborsko
10430,Domaslovec
10430,Draganje Selo
10430,Dragonoš
10430,Dubrava Samoborska
10430,Farkaševec Samoborski
10430,Gradna
10430,Grdanjci
10430,Gregurić Breg
10430,Hrastina Samoborska
10430,Jarušje
10430,Javorek
10430,Kladje
10430,Klokočevec Samoborski
10430,Kostanjevec Podvrški
10430,Kotari
10430,Kravljak
10430,Lug Samoborski
10430,Mala Jazbina
10430,Mala Rakovica
10430,Mali Lipovec
10430,Manja Vas
10430,Medsave
10430,Molvice
10430,Noršić Selo
10430,Otruševec
10430,Podvrh
10430,Poklek
10430,Prekrižje Plešivičko
10430,Rude
10430,Samobor
10430,Samoborski Otok
10430,Savršćak
10430,Selce Žumberačko
10430,Slani Dol
10430,Slapnica
10430,Slavagora
10430,Smerovišće
10430,Stojdraga
10430,Šipački Breg
10454,Tisovac Žumberački
10430,Velika Jazbina
10430,Velika Rakovica
10430,Veliki Lipovec
10430,Višnjevec Podvrški
10430,Vratnik Samoborski
10430,Vrbovec Samoborski
10430,Vrhovčak
10431,Brezje
10431,Jagnjić Dol
10431,Kerestinec
10431,Mala Gorica
10431,Orešje
10431,Rakitje
10431,Srebrnjak
10431,Strmec
10431,Sveta Nedelja
10431,Svetonedeljski Breg
10435,Dolec Podokićki
10435,Drežnik Podokićki
10435,Falašćak
10435,Galgovo
10435,Klake
10435,Konšćica
10435,Podgrađe Podokićko
10435,Sveti Martin pod Okićem
10437,Bestovje
10437,Novaki
10450,Belčići
10450,Beter
10450,Brebrovac
10450,Brezari
10450,Breznik Plešivički
10450,Brezovac Žumberački
10450,Bukovac Svetojanski
10450,Celine
10450,Crna Mlaka
10450,Cvetković
10450,Čabdin
10450,Čeglje
10450,Črnilovec
10450,Dolanjski Jarak
10450,Domagović
10450,Donja Purgarija
10450,Donja Reka
10450,Donja Zdenčina
10450,Donji Desinec
10450,Draga Svetojanska
10450,Dragovanščak
10450,Goli Vrh
10450,Goljak
10450,Gonjeva
10450,Gorica Svetojanska
10450,Gornja Purgarija
10450,Gornja Reka
10450,Gornja Zdenčina
10450,Gornji Desinec
10450,Grabarak
10450,Guci Draganički
10450,Hrastje Plešivičko
10450,Hrašća
10450,Ivančići
10450,Izimje
10450,Jastrebarsko
10450,Jurjevčani
10450,Klinča Sela
10450,Kozlikovo
10450,Kupeć Dol
10450,Kupinec
10450,Lanišće
10450,Lokošin Dol
10450,Malunje
10450,Miladini
10450,Novaki Petrovinski
10450,Novo Selo Okićko
10450,Orešje Okićko
10450,Paljugi
10450,Pavlovčani
10450,Pavučnjak
10450,Petkov Breg
10450,Petrovina
10450,Plešivica
10450,Poljanica Okićka
10450,Prhoć
10450,Prilipje
10450,Prodin Dol
10450,Rastoki
10450,Redovje
10450,Repišće
10450,Slavetić
10450,Srednjak
10450,Stankovo
10450,Špigelski Breg
10450,Tihočaj
10450,Toplice
10450,Tržić
10450,Vlaškovec
10450,Volavje
10450,Vranov Dol
10450,Zdihovo
10451,Bratina
10451,Bregana Pisarovinska
10451,Donja Kupčina
10451,Dvoranci
10451,Gorica Jamnička
10451,Gradec Pokupski
10451,Jamnica Pisarovinska
10451,Lijevo Sredičko
10451,Lučelnica
10451,Pisarovina
10451,Podgorje Jamničko
10451,Selsko Brdo
10451,Topolovec Pisarovinski
10451,Velika Jamnička
10454,Barovka
10454,Begovo Brdo Žumberačko
10454,Bratelji
10454,Brezarić
10454,Brlenić
10454,Budinjak
10454,Bukovica Prekriška
10454,Careva Draga
10454,Cernik
10454,Cerovica
10454,Čučići
